study;study_data;treatment;year;location;state;data_plantio;cultivar;AI;fungicide;fungicide_code;dose_ai;dose_pc;group;n_spray;timing;type_spray;aacpf;check_aacpf;letter_aacpf;cv_aacpf;sev_r6;check_sev_r6;mean_sev;letter_sev_r6;cv_sev_r6;yield_kg;check_yield_kg;mean_yield;letter_yield_kg;cv_yield_kg;yield_sc;check_yield_sc;letter_yield_sc;cv_yield_sc;author;file_name;manc;V_sev;V_yield;L.var_yield;L.var_sev;D;var_D;yi;vi;id;yi_sev;vi_sev;yi2;vi2
1;1;1;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;AACHECK;CHECK; -; -; -; -; -; -; -;1421.6;1421.6;A;3.15;75;75;16.42142857;A;2.98;1734;1734;2859.857143;D;3.9;28.9;28.9;D;NA;BALARDIN;UPL_Instituto Phytus 06.06;CHECK;0.239471811;12439.92876;0.001034331;1.06E-05;0;3109.982189;7.458186157;0.001034331;1;4.317488114;1.06E-05;1734;3109.982189
1;1;2;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;AZOX + CIPR;PRIORI XTRA;NA;60+24;300;ESTROBILURINA+TRIAZOL;3;Vegetativo;Sequencial;243.6;1421.6;C;3.15;13.5;75;16.42142857;C;2.98;2724;1734;2859.857143;C;3.9;45.4;28.9;C;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.000419125;0.000328494;990;3109.982189;7.909856667;0.000419125;2;2.602689685;0.000328494;2724;3109.982189
1;1;3;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;AZOX + CIPR + MANC;PRIORI XTRA+UNIZEB GOLD;NA;60+24+1125;300+1500;ESTROBILURINA+TRIAZOL+DITIOCARBAMATO;3;Vegetativo;Sequencial;183.2;1421.6;E;3.15;13.5;75;16.42142857;C;2.98;2832;1734;2859.857143;C;3.9;47.2;28.9;C;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000387767;0.000328494;1098;3109.982189;7.948738455;0.000387767;3;2.602689685;0.000328494;2832;3109.982189
1;1;4;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;AZOX + CIPR;PRIORI XTRA;NA;60+24;300;ESTROBILURINA+TRIAZOL;3;Reprodutivo;Sequencial;213.6;1421.6;C;3.15;13.5;75;16.42142857;C;2.98;2874;1734;2859.857143;C;3.9;47.9;28.9;C;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.000376517;0.000328494;1140;3109.982189;7.963460067;0.000376517;4;2.602689685;0.000328494;2874;3109.982189
1;1;5;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;AZOX + CIPR + MANC;PRIORI XTRA+UNIZEB GOLD;NA;60+24+1125;300+1500;ESTROBILURINA+TRIAZOL+DITIOCARBAMATO;3;Reprodutivo;Sequencial;155.1;1421.6;F;3.15;11.5;75;16.42142857;D;2.98;2904;1734;2859.857143;C;3.9;48.4;28.9;C;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000368778;0.000452688;1170;3109.982189;7.973844376;0.000368778;5;2.442347035;0.000452688;2904;3109.982189
1;1;6;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + CIPR;APROACH PRIMA;NA;60+24 ;300;ESTROBILURINA+TRIAZOL;3;Vegetativo;Sequencial;217.7;1421.6;C;3.15;12.8;75;16.42142857;C;2.98;2904;1734;2859.857143;C;3.9;48.4;28.9;C;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.000368778;0.000365405;1170;3109.982189;7.973844376;0.000368778;6;2.549445171;0.000365405;2904;3109.982189
1;1;7;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + CIPR + MANC;APROACH PRIMA+UNIZEB GOLD;NA;60+24+1125;300+1500;ESTROBILURINA+TRIAZOL+ DITIOCARBAMATO;3;Vegetativo;Sequencial;132.1;1421.6;G;3.15;9.8;75;16.42142857;F;2.98;3012;1734;2859.857143;B;3.9;50.2;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000342806;0.000623365;1278;3109.982189;8.010359589;0.000342806;7;2.282382386;0.000623365;3012;3109.982189
1;1;8;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + CIPR;APROACH PRIMA;NA;60+24 ;300;ESTROBILURINA+TRIAZOL;3;Reprodutivo;Sequencial;163.1;1421.6;F;3.15;10.8;75;16.42142857;E;2.98;2982;1734;2859.857143;B;3.9;49.7;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.000349738;0.000513271;1248;3109.982189;8.000349495;0.000349738;8;2.379546134;0.000513271;2982;3109.982189
1;1;9;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + CIPR + MANC;APROACH PRIMA+UNIZEB GOLD;NA;60+24+1125;300+1500;ESTROBILURINA+TRIAZOL+ DITIOCARBAMATO;3;Reprodutivo;Sequencial;131.6;1421.6;G;3.15;10.4;75;16.42142857;E;2.98;2988;1734;2859.857143;B;3.9;49.8;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000348335;0.000553513;1254;3109.982189;8.002359546;0.000348335;9;2.341805806;0.000553513;2988;3109.982189
1;1;10;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + TEBU;HOROS;NA;60+100 ;500;ESTROBILURINA+TRIAZOL;3;Vegetativo;Sequencial;194.1;1421.6;D;3.15;11.3;75;16.42142857;D;2.98;2964;1734;2859.857143;B;3.9;49.4;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.000353999;0.000468854;1230;3109.982189;7.994294986;0.000353999;10;2.424802726;0.000468854;2964;3109.982189
1;1;11;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + TEBU + MANC;HOROS+UNIZEB GOLD;NA;60+100+1125;500+1500;ESTROBILURINA+TRIAZOL+DITIOCARBAMATO;3;Vegetativo;Sequencial;153.5;1421.6;F;3.15;10.7;75;16.42142857;E;2.98;2982;1734;2859.857143;B;3.9;49.7;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000349738;0.00052291;1248;3109.982189;8.000349495;0.000349738;11;2.370243741;0.00052291;2982;3109.982189
1;1;12;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + TEBU;HOROS;NA;60+100 ;500;ESTROBILURINA+TRIAZOL;3;Reprodutivo;Sequencial;204.2;1421.6;D;3.15;13.4;75;16.42142857;C;2.98;3024;1734;2859.857143;B;3.9;50.4;28.9;B;NA;BALARDIN;UPL_Instituto Phytus 06.06;without;0.239471811;12439.92876;0.00034009;0.000333415;1290;3109.982189;8.014335737;0.00034009;12;2.595254707;0.000333415;3024;3109.982189
1;1;13;2012/13;ITARA;RS;22/11/2012;BMX POTENCIA RR;PICO + TEBU + MANC;HOROS+UNIZEB GOLD;NA;60+100+1125;500+1500;ESTROBILURINA+TRIAZOL+DITIOCARBAMATO;3;Reprodutivo;Sequencial;121.4;1421.6;G;3.15;8.7;75;16.42142857;G;2.98;3186;1734;2859.857143;A;3.9;53.1;28.9;A;NA;BALARDIN;UPL_Instituto Phytus 06.06;with;0.239471811;12439.92876;0.000306384;0.000790963;1452;3109.982189;8.06652149;0.000306384;13;2.163323026;0.000790963;3186;3109.982189
2;4;1;2013/14;ITARA;RS;06/12/2013;BMX POTENCIA RR;AACHECK;CHECK; -; -; -; -; -; -; -;1564.7;1564.7;A;5.07;61.3;61.3;11.67272727;A;9.51;2232;2232;2933.454545;H;2.68;37.2;37.2;H;2.68;BALARDIN;Instituto Phytus_Eagle team;CHECK;1.232269533;6180.566937;0.000310156;8.20E-05;0;1545.141734;7.710653324;0.000310156;14;4.115779843;8.20E-05;2232;1545.141734
2;4;2;2013/14;ITARA;RS;06/12/2013;BMX POTENCIA RR;TFLX + PROT;FOX;NA;60+70 ;400;ESTROBILURINA+TRIAZOLTILIONA;3;Reprodutivo;Sequencial;239.2;1564.7;E;5.07;6.4;61.3;11.67272727;C;9.51;3180;2232;2933.454545;C;2.68;53;37.2;C;2.68;BALARDIN;Instituto Phytus_Eagle team;without;1.232269533;6180.566937;0.000152797;0.007521176;948;1545.141734;8.064636476;0.000152797;15;1.85629799;0.007521176;3180;1545.141734
